astecid,date,cusip,isin,tradingsymbol,contracttypeid,collateraltypeid,collateralcurrencyid,lowerbound,upperbound,units,newunits
100258,2013-08-16,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,776600.0,0.0
100258,2013-08-19,037833100,US0378331005,AAPL,O,N,XXX,0.05,0.1,24000.0,0.0
100258,2013-08-20,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.35,1100.0,0.0
100258,2013-08-21,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,12600.0,0.0
100258,2013-08-22,037833100,US0378331005,AAPL,O,N,XXX,0.5,0.6,31300.0,0.0
100258,2013-08-23,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.4,12000.0,0.0
100258,2013-08-26,037833100,US0378331005,AAPL,O,A,AAA,-0.75,-0.5,473500.0,12500.0
100258,2013-08-27,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,70000.0,0.0
100258,2013-08-28,037833100,US0378331005,AAPL,O,A,AAA,2.0,2.25,100.0,0.0
100258,2013-08-29,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,264256.0,107700.0
100258,2013-08-30,037833100,US0378331005,AAPL,O,N,XXX,0.4,0.5,47000.0,0.0
100258,2013-09-02,037833100,US0378331005,AAPL,O,N,XXX,0.4,0.5,47000.0,0.0
100258,2013-09-03,037833100,US0378331005,AAPL,O,N,XXX,0.4,0.45,47000.0,0.0
100258,2013-09-04,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,950800.0,30400.0
100258,2013-09-05,037833100,US0378331005,AAPL,O,C,USD,1.0,1.1,600.0,600.0
100258,2013-09-06,037833100,US0378331005,AAPL,O,A,AAA,-0.1,0.0,1200.0,1200.0
100258,2013-09-09,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.15,24069.0,0.0
100258,2013-09-10,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,48290.0,19121.0
100258,2013-09-11,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,5000.0,5000.0
100258,2013-09-12,037833100,US0378331005,AAPL,O,A,AAA,0.4,0.5,61000.0,0.0
100258,2013-09-13,037833100,US0378331005,AAPL,O,A,AAA,0.3,0.4,12000.0,0.0
100258,2013-09-16,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,834700.0,9100.0
100258,2013-09-17,037833100,US0378331005,AAPL,O,A,AAA,0.4,0.5,47000.0,0.0
100258,2013-09-18,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,101100.0,12100.0
100258,2013-09-19,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,688300.0,85200.0
100258,2013-09-20,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,61100.0,5200.0
100258,2013-09-23,037833100,US0378331005,AAPL,O,A,AAA,-0.1,0.0,101800.0,65800.0
100258,2013-09-24,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,50000.0,0.0
100258,2013-09-25,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.4,12000.0,0.0
100258,2013-09-26,037833100,US0378331005,AAPL,O,A,AAA,0.75,1.0,5200.0,0.0
100258,2013-09-27,037833100,US0378331005,AAPL,O,C,USD,-0.1,0.0,51900.0,51900.0
100258,2013-09-30,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,74500.0,11700.0
100258,2013-07-01,037833100,US0378331005,AAPL,O,A,AAA,0.4,0.5,100000.0,0.0
100258,2013-07-02,037833100,US0378331005,AAPL,O,A,AAA,-0.7,-0.6,133000.0,25000.0
100258,2013-07-03,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,77837.0,24900.0
100258,2013-07-04,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,109000.0,6000.0
100258,2013-07-05,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,299957.0,91557.0
100258,2013-07-08,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,598300.0,2500.0
100258,2013-07-09,037833100,US0378331005,AAPL,O,A,AAA,0.4,0.5,100000.0,0.0
100258,2013-07-10,037833100,US0378331005,AAPL,O,C,USD,1.0,1.1,1600.0,0.0
100258,2013-07-11,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,6000.0,2800.0
100258,2013-07-12,037833100,US0378331005,AAPL,O,A,AAA,-0.7,-0.6,70000.0,0.0
100258,2013-07-15,037833100,US0378331005,AAPL,O,A,AAA,-0.1,0.0,2100.0,0.0
100258,2013-07-16,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,106500.0,1000.0
100258,2013-07-17,037833100,US0378331005,AAPL,O,C,USD,1.0,1.1,2000.0,0.0
100258,2013-07-18,037833100,US0378331005,AAPL,O,C,USD,-0.1,0.0,33400.0,0.0
100258,2013-07-19,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,47200.0,37800.0
100258,2013-07-22,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,32400.0,10200.0
100258,2013-07-23,037833100,US0378331005,AAPL,O,A,AAA,-1.0,-0.75,2000.0,0.0
100258,2013-07-24,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,72500.0,0.0
100258,2013-07-25,037833100,US0378331005,AAPL,O,A,AAA,-0.7,-0.6,70000.0,0.0
100258,2013-07-26,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,37893.0,27400.0
100258,2013-07-29,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,24993.0,16500.0
100258,2013-07-30,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.35,1100.0,0.0
100258,2013-07-31,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,63500.0,0.0
100258,2013-08-01,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,425400.0,374400.0
100258,2013-08-02,037833100,US0378331005,AAPL,O,A,AAA,-0.7,-0.6,83500.0,0.0
100258,2013-08-05,037833100,US0378331005,AAPL,O,N,XXX,0.15,0.2,38658.0,5000.0
100258,2013-08-06,037833100,US0378331005,AAPL,O,A,AAA,0.2,0.3,500.0,0.0
100258,2013-08-07,037833100,US0378331005,AAPL,O,A,AAA,0.3,0.4,1100.0,0.0
100258,2013-08-08,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,1076745.0,363400.0
100258,2013-08-09,037833100,US0378331005,AAPL,O,C,USD,0.75,1.0,32000.0,32000.0
100258,2013-08-12,037833100,US0378331005,AAPL,O,C,USD,0.0,0.25,3452020.0,3402872.0
100258,2013-08-13,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.4,1100.0,0.0
100258,2013-08-14,037833100,US0378331005,AAPL,O,A,AAA,-0.2,-0.1,228203.0,0.0
100258,2013-08-15,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,2265400.0,30000.0
100258,2013-10-01,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.2,46500.0,0.0
