astecid,date,cusip,isin,tradingsymbol,utilizationpercentunits,availableunits,availablemarketvalueusd
100258,2018-07-31,037833100,US0378331005,AAPL,0.0,633330098.0,120494978201.3066
100258,2014-04-01,037833100,US0378331005,AAPL,0.3,83623302.0,44943770373.0768
100258,2014-04-02,037833100,US0378331005,AAPL,0.24,83862248.0,45403822758.072
100258,2014-04-03,037833100,US0378331005,AAPL,0.24,83914183.0,45477438635.9952
100258,2014-04-04,037833100,US0378331005,AAPL,0.24,81553046.0,43862727222.1363
100258,2014-04-07,037833100,US0378331005,AAPL,0.25,83001093.0,44086777629.8261
100258,2014-04-08,037833100,US0378331005,AAPL,0.27,83041611.0,43522157090.564
100258,2014-04-09,037833100,US0378331005,AAPL,0.24,83123783.0,43591833740.55
100258,2014-04-10,037833100,US0378331005,AAPL,0.31,83133161.0,43963149658.7236
100258,2014-04-11,037833100,US0378331005,AAPL,0.34,83071252.0,43473069932.2659
100258,2014-04-14,037833100,US0378331005,AAPL,0.31,82780400.0,43062279585.775
100258,2014-04-15,037833100,US0378331005,AAPL,0.39,83084180.0,43286509681.1475
100258,2014-04-16,037833100,US0378331005,AAPL,0.38,83006549.0,43029786430.2294
100258,2014-04-17,037833100,US0378331005,AAPL,0.29,83240766.0,43266623590.335
100258,2014-04-18,037833100,US0378331005,AAPL,0.3,83158815.0,43588376221.972
100258,2014-04-21,037833100,US0378331005,AAPL,0.38,83329094.0,43823787572.0565
100258,2014-04-22,037833100,US0378331005,AAPL,0.21,76477210.0,40590102269.3856
100258,2014-04-23,037833100,US0378331005,AAPL,1.33,76787432.0,40741625145.0178
100258,2014-04-24,037833100,US0378331005,AAPL,1.19,76682065.0,40794425406.0559
100258,2014-04-25,037833100,US0378331005,AAPL,1.16,76867662.0,43438697408.0052
100258,2014-04-28,037833100,US0378331005,AAPL,1.17,76911434.0,44249958205.9206
100258,2014-04-29,037833100,US0378331005,AAPL,1.65,77145910.0,45674283057.1572
100258,2014-04-30,037833100,US0378331005,AAPL,1.26,77591110.0,45943596481.0418
